,FacilityName,StreeetNo,StreetName_Suffix,StreetDirection,UnitNumber,Municipality,Telephone,Fax,Address,Latitude,Longitude
0,No Frills,1135,Thompson Road,,,Fort Erie,(905) 994-8254,(905) 994-8257,"1135, Thompson Road, Fort Erie",42.907466,-78.94367
1,Sobey's,450,Garrison Road,,,Fort Erie,(905) 871-0463,(905) 871-5044,"450, Garrison Road, Fort Erie",42.9062748,-78.9302848
2,Shoppers Drug Mart,42,St Andrews Avenue,,1,Grimsby,(905) 945-9775,(905) 945-7705,"42, St Andrews Avenue, Grimsby",43.196783,-79.56770089999999
3,Shoppers Drug Mart,5125,Montrose Road,,,Niagara Falls,(905) 357-1100,,"5125, Montrose Road, Niagara Falls",43.09993,-79.1245345
4,Busy Bee Food Mart,5203,Victoria Avenue,,,Niagara Falls,(905) 353-8382,,"5203, Victoria Avenue, Niagara Falls",43.09907399999999,-79.07333299999999
5,Big Bee Convenience & Food Mart,81,Queenston Street,,,St. Catharines,(905) 984-6632,,"81, Queenston Street, St. Catharines",43.1635263,-79.23579749999999
6,Outlet Collection at Niagara- Pepper Palace,300,Taylor Rd.,,729,Niagara-on-the-Lake,(905) 685-3232,,"300, Taylor Rd., Niagara-on-the-Lake",43.1591107,-79.17558389999999
7,Celi & Presti Supermarket,390,Crowland Avenue,,,Welland,(905) 734-7166,905-734-7067,"390, Crowland Avenue, Welland",42.9843648,-79.2358629
8,Polonez Meat Market,25,Facer Street,,,St. Catharines,(905) 938-0348,,"25, Facer Street, St. Catharines",43.1752702,-79.22750820000002
9,Walmart,102,Primeway Drive,,,Welland,(905) 735-3500,,"102, Primeway Drive, Welland",43.0170226,-79.2275873
10,Antipasto di Roma ,87,Hannover Drive,,,St. Catharines,(905) 641-5211,,"87, Hannover Drive, St. Catharines",43.1743074,-79.27872060000001
11,Food Basics,124,Clarence Street,,,Port Colborne,(905) 834-8800,(905) 834-8900,"124, Clarence Street, Port Colborne",42.8855219,-79.2546967
12,Metro,101,Lakeshore Road,,,St. Catharines,(905) 934-0131,,"101, Lakeshore Road, St. Catharines",43.2045156,-79.2445913
13,Shoppers Drug Mart,815,Ontario Road,,,Welland,905-788-2111,,"815, Ontario Road, Welland",42.9760194,-79.2403518
14,Al Noor,121,Geneva Street,,,St. Catharines,(905) 688-0000,905-688-0006,"121, Geneva Street, St. Catharines",43.1665724,-79.2406876
15,Sobey's,287,Westside Rd.,,,Port Colborne,(905) 834-0220,,"287, Westside Rd., Port Colborne",42.9049538,-79.26670879999999
16,British Grocer Niagara,3643,Portage Road,,31,Niagara Falls,(905) 354-8882,,"3643, Portage Road, Niagara Falls",43.1195799,-79.10084959999999
17,FreshCo,5931,Kalar Road,,,Niagara Falls,(905) 371-3113,,"5931, Kalar Road, Niagara Falls",43.0877975,-79.137368
18,FreshCo,835,Ontario Road,,,Welland,(905) 735-2525,(905) 788-1041,"835, Ontario Road, Welland",42.976122,-79.23939349999999
19,Roman Cheese ,4916,Montrose Road,,,Niagara Falls,(905) 356-2640,,"4916, Montrose Road, Niagara Falls",43.102346,-79.12337
20,Giant Tiger,6161,Thorold Stone Road,,,Niagara Falls,(905) 371-9697,(905) 371-8999,"6161, Thorold Stone Road, Niagara Falls",43.1153441,-79.09771889999999
21,Dinh Dinh Asian Foods,79,Geneva Street,,,St. Catharines,(905) 685-4977,,"79, Geneva Street, St. Catharines",43.164164,-79.24063699999999
22,Hendriks ValuMart ,130,Queen Street,,,Niagara-on-the-Lake,(905) 468-7731,(905) 468-8437,"130, Queen Street, Niagara-on-the-Lake",43.2564523,-79.0752261
23,Commisso's Fresh Food,6161,Thorold Stone Rd.,,14,Niagara Falls,(905) 357-6600,(905) 357-6604,"6161, Thorold Stone Rd., Niagara Falls",43.1153441,-79.09771889999999
24,Walmart,285,Geneva Street,,,St. Catharines,(905) 646-4566,,"285, Geneva Street, St. Catharines",43.1777589,-79.2438306
25,Tigchelaar Berry Farms Market,4297,Jordan Rd.,,,Lincoln,(905) 981-6962,,"4297, Jordan Rd., Lincoln",43.17081,-79.3604024
26,ValuMart,1551,Niagara Stone Road,,,Niagara-on-the-Lake,(905) 468-3286,,"1551, Niagara Stone Road, Niagara-on-the-Lake",43.2229274,-79.11965959999999
27,Kurtz Country Market,16006,Niagara Parkway,,,Niagara-on-the-Lake,(905) 468-2937,(905) 468-7479,"16006, Niagara Parkway, Niagara-on-the-Lake",43.2351657,-79.062135
28,Cheese Secrets,38,Market Street,,,Niagara-on-the-Lake,(905) 468-2555,,"38, Market Street, Niagara-on-the-Lake",43.2548846,-79.0725193
29,No Frills,390,Lincoln Street,E,,Welland,(905) 732-3367,905-732-4176,"390, Lincoln Street, Welland",42.9847698,-79.23718149999999
30,Sobey's,34,Livingston Avenue,,,Grimsby,(905) 945-9973,,"34, Livingston Avenue, Grimsby",43.196027,-79.5684615
31,Shoppers Drug Mart,6565,Lundy's Lane,,,Niagara Falls,(905) 354-3845,,"6565, Lundy's Lane, Niagara Falls",43.0900745,-79.10461099999999
32,Gallagher's,346,Highway 20,W,,Pelham,(905) 892-0698,,"346, Highway 20, Pelham",43.050999,-79.2703473
33,Peanut Mill,191,Welland Avenue,,,St. Catharines,(905) 685-8848,,"191, Welland Avenue, St. Catharines",43.1664256,-79.2394951
34,Sobey's ,609,South Pelham Road,,,Welland,(905) 735-7467,,"609, South Pelham Road, Welland",43.0041047,-79.2870248
35,Joe's ValuMart,311,Gorham Road,,,Fort Erie,(905) 894-5266,(905) 894-3044,"311, Gorham Road, Fort Erie",42.88289289999999,-79.059834
36,Real Canadian Superstore,411,Louth Street,,,St. Catharines,(905) 984-8408,(905) 984-8606,"411, Louth Street, St. Catharines",43.1539497,-79.2667961
37,FreshCo,318,Ontario Street,,,St. Catharines,(905) 684-8597,,"318, Ontario Street, St. Catharines",43.1689265,-79.2637649
38,Food Basics,325,Thorold Road,,,Welland,(905) 735-4320,,"325, Thorold Road, Welland",43.002881,-79.2719985
39,T & K Eastern Import,365,Vine Street,,,St. Catharines,(905) 646-9840,,"365, Vine Street, St. Catharines",43.1856014,-79.2313808
40,Food Basics,6770,McLeod Road,,,Niagara Falls,(905) 356-1103,(905) 356-1529,"6770, McLeod Road, Niagara Falls",43.0696552,-79.1074883
41,Shoppers Drug Mart,20,Highway 20,E,,Pelham,905-892-5791,905-892-1020,"20, Highway 20, Pelham",43.0453614,-79.2824545
42,Shoppers Drug Mart,275,Fourth Avenue,,,St. Catharines,(905) 641-2244,(905) 641-1751,"275, Fourth Avenue, St. Catharines",43.1559785,-79.2679086
43,Food Basics,275,Geneva Street,,,St. Catharines,(905) 937-6523,,"275, Geneva Street, St. Catharines",43.1763292,-79.24154949999999
44,No Frills - Brent & Jenny's,53,Westside Road,,,Port Colborne,(905) 834-5577,(905) 834-8903,"53, Westside Road, Port Colborne",42.8978746,-79.2648964
45,Outlet Collection at Niagara- Davids Tea,300,Taylor Rd.,,725,Niagara-on-the-Lake,(905) 685-1734,,"300, Taylor Rd., Niagara-on-the-Lake",43.1591107,-79.17558389999999
46,No Frills,4961,King Street,,,Lincoln,(905) 563-4246,(905) 563-1932,"4961, King Street, Lincoln",43.1654852,-79.47374479999999
47,Costco,3,North Service Road,,,St. Catharines,(905) 646-2008,,"3, North Service Road, St. Catharines",43.1778298,-79.2481506
48,The New Food Box,7000,McLeod Road,,,Niagara Falls,(905) 357-6377,,"7000, McLeod Road, Niagara Falls",43.0699352,-79.1115441
49,Sobey's,110,Highway 20,E,,Pelham,(905) 892-2570,,"110, Highway 20, Pelham",43.0433823,-79.29505189999999
50,Shoppers Drug Mart,5175,Victoria Avenue,,,Niagara Falls,(905) 356-5096,(905) 356-6176,"5175, Victoria Avenue, Niagara Falls",43.0995571,-79.0738192
51,Foodland,9,Pine Street,N,,Thorold,(905) 227-0533,,"9, Pine Street, Thorold",43.1243074,-79.2034126
52,Foodland,176,Griffin Street,,,West Lincoln,(905) 957-7015,,"176, Griffin Street, West Lincoln",43.099371,-79.545953
53,Sobey's,4610,Ontario Street,,,Lincoln,(905) 563-1088,,"4610, Ontario Street, Lincoln",43.1809266,-79.4785299
54,Lococo's,4167,Victoria Avenue,,,Niagara Falls,905-358-3281,905-358-0384,"4167, Victoria Avenue, Niagara Falls",43.113499,-79.0742719
55,Zehrs,821,Niagara Street,,,Welland,(905) 732-9377,(905) 732-9216,"821, Niagara Street, Welland",43.01720299999999,-79.2518232
56,Walmart,420,Vansickle Drive,,,St. Catharines,(905) 687-9212,,"420, Vansickle Drive, St. Catharines",43.1527274,-79.26716119999999
57,Food Basics,3770,Montrose Road,,,Niagara Falls,(905) 371-3200,,"3770, Montrose Road, Niagara Falls",43.11895699999999,-79.1233188
58,Foodland,3357,King Street,,,Lincoln,(905) 562-5881,(905) 562-3322,"3357, King Street, Lincoln",43.15081929999999,-79.3900878
59,Walmart ,7481,Oakwood Drive,,,Niagara Falls,(905) 371-3999,,"7481, Oakwood Drive, Niagara Falls",43.0671861,-79.1196252
60,Bamboo Natural Food Market Inc,211,Martindale Road,,1B,St. Catharines,(289) 362-5637,(289) 362-5923,"211, Martindale Road, St. Catharines",43.1712543,-79.27408199999999
61,Sobey's,3714,Portage Rd.,,,Niagara Falls,(905)-371-2270,(905) 371-2525,"3714, Portage Rd., Niagara Falls",43.1186461,-79.0987212
62,Zehrs,6940,Morrison Street,,,Niagara Falls,(905) 358-5544,(905) 358-0982,"6940, Morrison Street, Niagara Falls",43.1028324,-79.112944
63,Meg Africana,1A,Wiley Street,,,St. Catharines,(289) 362-2445,,"1A, Wiley Street, St. Catharines",43.1670161,-79.2378681
64,Food Basics,63,Main Street,W,,Grimsby,(905) 945-3323,(905) 945-7222,"63, Main Street, Grimsby",43.193732,-79.56380469999999
65,No Frills,6460,Lundy's Lane,,,Niagara Falls,(905) 357-4623,(905) 357-3863,"6460, Lundy's Lane, Niagara Falls",43.0886944,-79.10289619999999
66,Shoppers Drug Mart,387,Scott Street,,,St. Catharines,(905) 934-4260,,"387, Scott Street, St. Catharines",43.1904222,-79.2270297
67,Real Canadian Superstore,361,South Service Road ,,,Grimsby,(905) 309-3911,,"361, South Service Road , Grimsby",43.2042845,-79.5911629
68,Fiesta Filipino,8003,Lundy's Lane,,,Niagara Falls,(905) 357-3758,,"8003, Lundy's Lane, Niagara Falls",43.0892376,-79.131388
69,Rexall Drug Store ,258,Lake Street,,,St. Catharines,(905) 684-2305,(905) 684-0620,"258, Lake Street, St. Catharines",43.1750101,-79.2499425
70,Zehrs,285,Geneva Street,,,St. Catharines,(905) 646-7671,,"285, Geneva Street, St. Catharines",43.1777589,-79.2438306
71,Shoppers Drug Mart,150,Main Street,E,,Grimsby,(905) 945-5422,,"150, Main Street, Grimsby",43.1877527,-79.5445723
72,Shoppers Drug Mart,3703,Portage Road,,,Niagara Falls,(905) 354-3871,,"3703, Portage Road, Niagara Falls",43.1194332,-79.1014558
73,No Frills - Mark's,581,Lake Street,,,St. Catharines,(905) 937-4290,(905) 937-6219,"581, Lake Street, St. Catharines",43.1986942,-79.2529559
74,Shoppers Drug Mart,800,Niagara Street ,,,Welland,(905) 735-7525,,"800, Niagara Street , Welland",43.015699,-79.2471084
75,Foodland,8251,Dock Street,,,Niagara Falls,(905) 295-6133,,"8251, Dock Street, Niagara Falls",43.056711,-79.052463
76,National Grocers Cash & Carry,5772,Main Street,,,Niagara Falls,(905) 356-4795,,"5772, Main Street, Niagara Falls",43.090833,-79.0918499
77,Orchard Glen Farm Market,116,Four Mile Creek Road,,,Niagara-on-the-Lake,(905) 262-5531,,"116, Four Mile Creek Road, Niagara-on-the-Lake",43.1509807,-79.1046327
78,Sobey's,400,Scott Street,,,St. Catharines,(905) 935-9974,,"400, Scott Street, St. Catharines",43.1884041,-79.2284602
79,Shoppers Drug Mart,600,Ontario Street,,,St. Catharines,(905) 937-3532,(905) 937-1488,"600, Ontario Street, St. Catharines",43.1948653,-79.25917009999999
80,No Frills - Ron's ,525,Welland Avenue,,,St. Catharines,(905) 685-4096,,"525, Welland Avenue, St. Catharines",43.1761713,-79.21440129999999
81,Walmart,525,Welland Avenue,,,St. Catharines,(905) 685-4100,,"525, Welland Avenue, St. Catharines",43.1761713,-79.21440129999999
82,National Grocers Cash & Carry,189,Bunting Road,,,St. Catharines,(905) 685-5462,,"189, Bunting Road, St. Catharines",43.1702064,-79.2106651
83,Pistachio's,526,Welland Avenue,,,St. Catharines,(905) 684-3312,,"526, Welland Avenue, St. Catharines",43.1760177,-79.21070399999999
84,Sobey's,343,Glendale Avenue,,,St. Catharines,(905) 680-8563,,"343, Glendale Avenue, St. Catharines",43.13768040000001,-79.21632199999999
85,Food Basics,149,Hartzel Road,,,St. Catharines,(905) 684-7439,,"149, Hartzel Road, St. Catharines",43.1485458,-79.2153045
86,Zehrs,221,Glendale Avenue,,,St. Catharines,(905) 984-3420,,"221, Glendale Avenue, St. Catharines",43.1360481,-79.22441470000001
87,FreshCo,286,Bunting Road,,,St. Catharines,(905) 687-9462,,"286, Bunting Road, St. Catharines",43.1782374,-79.20877610000001
88,Elda's Store Latin & Jamaican Products,278,Bunting Road,,2,St. Catharines,(289) 362-0369,,"278, Bunting Road, St. Catharines",43.17723720000001,-79.2096892
89,Pupo's Food Market,195,Maple Avenue,,,Welland,(905) 735-8401,,"195, Maple Avenue, Welland",42.9884861,-79.2594876
90,Walmart,750,Garrison Road,,,Fort Erie,(905) 991-9971,,"750, Garrison Road, Fort Erie",42.9062464,-78.9438366
91,Shoppers Drug Mart,125,Carlton Street,,8A,St. Catharines,(905) 688-2132,(905) 688-2722,"125, Carlton Street, St. Catharines",43.1714186,-79.2531435
92,Giant Tiger,200,Fitch Street,,,Welland,905-735-0963,,"200, Fitch Street, Welland",42.9951885,-79.2654246
93,Giant Tiger,350,Scott Street,,,St. Catharines,(905) 934-7823,,"350, Scott Street, St. Catharines",43.1868436,-79.2321795
94,Giant Tiger,120,Welland Avenue,,,St. Catharines,(905) 685-1167,,"120, Welland Avenue, St. Catharines",43.1633634,-79.2457087
95,Giant Tiger,20,Highway 20,East,,Pelham,(905) 892-5735,,"20, Highway 20, Pelham",43.0453614,-79.2824545
96,Giant Tiger,36,Main Street,West,,Grimsby,(905) 309-4511,,"36, Main Street, Grimsby",43.1919116,-79.5594362
97,Giant Tiger,249,St Catharines Street,,,West Lincoln,(905) 957-1855,,"249, St Catharines Street, West Lincoln",43.0954874,-79.5384782
